"","strato","N","total","total_var","total_cv","total_se","total_deff","nd","DEPARTAMENTO","CLASE","SEXO","TOTAL_PET","DPNOM","TOTAL","PORC_PET","Exclusion_n","Exclusion_DEFF","Exclusion","Flag","varianza","ln_sigma2","var_est","eblup_var_su","eblup_var_or","cv_eblup_var_su","cv_eblup_var_or","diff"
"69","Caqueta_U_H",131559,59991,14814092.655036,0.0641580900826314,3848.90798214714,3.24574603840111,935,18,"Urbano","Hombre",104432,"Caqueta",133441,78.2608044004466,0,0,0,"Incluir",14814092.655036,16.5110894920947,12695784.2335061,59915.347824264,59887.7371662654,5.9376209356216,6.41375614993707,0.53925786224459
"70","Atlantico_R_H",87996,54611.3535117287,32703417.834745,0.104716141470171,5718.69022021171,3.21740499514101,180,8,"Rural","Hombre",60937,"Atlantico",73472,82.9390788327526,0,0,0,"Incluir",32703417.834745,17.3029901513458,15943020.8730393,54434.5291543031,54196.1735685192,7.32081509198016,10.504527043414,3.38923331569256
"71","Risaralda_R_H",101107,52104,32575851.0875818,0.109541030034198,5707.52582890185,2.23664333001933,176,66,"Rural","Hombre",84383,"Risaralda",101838,82.8600326007973,0,0,0,"Incluir",32575851.0875818,17.299081807651,19674776.9518317,51959.4854324579,51826.7836390223,8.51606684500185,10.9634792398949,2.61930576751395
"72","Cordoba_R_M",465159,46762,120142703.452007,0.23439892875501,10960.9627064418,1.50526021517205,246,23,"Rural","Mujer",360147,"Cordoba",443296,81.2430069299069,0,0,0,"Incluir",120142703.452007,18.6041907896469,47184329.0802816,48223.1688218829,50827.4221823786,14.1619197004347,21.2144623643959,7.15799653770655
"73","Caqueta_U_M",144049,41911,8706621.30010273,0.070403914074095,2950.6984427594,2.27520119709207,1111,18,"Urbano","Mujer",115254,"Caqueta",142714,80.7587202376781,0,0,0,"Incluir",8706621.30010273,15.979594363136,8185088.03658636,41908.8673125395,41905.9571588683,6.8197358433771,7.03278189188399,0.256671594908132
"74","Choco_U_H",110422,41588,19730275.3042831,0.106806709931742,4441.87745264129,7.5805077906301,1090,27,"Urbano","Hombre",90463,"Choco",120263,75.2209740319134,0,0,0,"Incluir",19730275.3042831,16.797664831489,7110416.74248391,41569.3182594162,41524.2123542409,6.40905646875317,10.6680397560607,4.30558796076152
"75","Caqueta_R_H",75311,39885,15454595.5472873,0.0985642055073986,3931.23333666259,2.16040643260973,198,18,"Rural","Hombre",62291,"Caqueta",79048,78.8014877036737,0,0,0,"Incluir",15454595.5472873,16.553416963506,11985939.7558908,39804.9878018959,39764.5217255039,8.68476543365681,9.86526518455371,1.36240430837871
"76","Casanare_U_H",75481,39869,16367513.9102508,0.101474288895613,4045.6784239792,2.31174028761496,201,85,"Urbano","Hombre",127664,"Casanare",161594,79.0029332772256,0,0,0,"Incluir",16367513.9102508,16.6108090691672,18984863.2426274,39913.1067975944,39907.1313802019,10.8911229805863,10.1148694866217,-0.640517564816101
"77","Casanare_U_M",80315,36341,12952409.9610885,0.0990326538493569,3598.94567353948,1.98369271196224,245,85,"Urbano","Mujer",136501,"Casanare",169179,80.6843638985926,0,0,0,"Incluir",12952409.9610885,16.3767924261772,15817421.0706089,36405.3017769071,36396.5494395846,10.903267719449,9.87048909685355,-0.907190592857424
"78","La Guajira_R_M",245602,33874,42864212.5633364,0.193277340808388,6547.07664254333,1.35194834096592,227,44,"Rural","Mujer",195038,"La Guajira",251777,77.4645817529004,0,0,0,"Incluir",42864212.5633364,17.573547829772,20084516.343532,34148.853079201,34517.4198251723,13.0911820905966,18.8558543906195,5.89538630997922
"79","Magdalena_R_M",214345,31709,35931214.8703324,0.189039867708437,5994.26516516682,1.37882137994001,223,47,"Rural","Mujer",175862,"Magdalena",222362,79.0881535514162,0,0,0,"Incluir",35931214.8703324,17.397116970662,17104552.9257853,31898.0676142471,32143.0781953411,12.9382465688751,18.5566268469474,5.75527350740755
"80","Boyaca_R_M",247758,31317.0112764926,50705556.8188072,0.227377490734861,7120.78344136424,1.51981075954071,204,15,"Rural","Mujer",208470,"Boyaca",247355,84.2796790038608,0,0,0,"Incluir",50705556.8188072,17.7415460645044,19527662.859694,31587.810851754,32086.5007416351,13.9559599611461,22.0382338596111,8.22911915778512
"81","Santander_R_M",274139,29914,35013141.4284543,0.197806723683968,5917.19033228223,1.17522885521536,246,68,"Rural","Mujer",209122,"Santander",250347,83.5328563953233,0,0,0,"Incluir",35013141.4284543,17.3712340183671,16300577.8131173,30151.472178704,30474.7239439159,13.3634804482497,19.3232550890608,6.09525369205661
"82","Bolivar_R_M",304032,26859.9623079076,42797557.4494706,0.243558949878265,6541.98421348375,1.24834727519832,218,13,"Rural","Mujer",227936,"Bolivar",282990,80.5456023181031,0,0,0,"Incluir",42797557.4494706,17.5719915899859,17271729.6855645,27186.5591373851,27751.4439558825,15.2541508972706,23.4349614586271,8.34245978412612
