,DP,DPNOM,strato,eblup.FH,sexo,clase
81,68,Santander,Santander_R_H,162685.359677217,hombre,rural
82,68,Santander,Santander_U_M,326707.716549218,mujer,urbano
83,68,Santander,Santander_U_H,447482.97045105,hombre,urbano
84,70,Sucre,Sucre_R_M,16514.373244380502,mujer,rural
85,70,Sucre,Sucre_R_H,96626.4834630627,hombre,rural
86,70,Sucre,Sucre_U_H,132793.038860208,hombre,urbano
87,70,Sucre,Sucre_U_M,64740.4780206167,mujer,urbano
88,73,Tolima,Tolima_R_M,26081.076588122203,mujer,rural
89,73,Tolima,Tolima_U_H,220866.59799079,hombre,urbano
90,73,Tolima,Tolima_R_H,124435.252565318,hombre,rural
91,73,Tolima,Tolima_U_M,135206.449614284,mujer,urbano
92,76,Valle del Cauca,Valle del Cauca_R_M,84020.7340134639,mujer,rural
93,76,Valle del Cauca,Valle del Cauca_R_H,183915.406614807,hombre,rural
94,76,Valle del Cauca,Valle del Cauca_U_M,682092.55323479,mujer,urbano
95,76,Valle del Cauca,Valle del Cauca_U_H,851167.685298512,hombre,urbano
96,81,Arauca,Arauca_U_H,19267.9272112405,hombre,urbano
97,81,Arauca,Arauca_U_M,12811.244362945401,mujer,urbano
98,81,Arauca,Arauca_R_H,23200.2394861127,hombre,rural
99,81,Arauca,Arauca_R_M,20771.279893112198,mujer,rural
100,85,Casanare,Casanare_U_H,39984.0813938146,hombre,urbano
101,85,Casanare,Casanare_U_M,36462.3804986027,mujer,urbano
102,85,Casanare,Casanare_R_H,27950.1067239547,hombre,rural
103,85,Casanare,Casanare_R_M,23946.9628007129,mujer,rural
104,86,Putumayo,Putumayo_U_H,9294.38976653478,hombre,urbano
105,86,Putumayo,Putumayo_U_M,6475.46334821531,mujer,urbano
106,86,Putumayo,Putumayo_R_H,38332.734069725695,hombre,rural
107,86,Putumayo,Putumayo_R_M,35073.1000202468,mujer,rural
108,88,Archipielago de San Andres,Archipielago de San Andres_U_H,10526.821584245501,hombre,urbano
109,88,Archipielago de San Andres,Archipielago de San Andres_U_M,9128.011283172851,mujer,urbano
110,88,Archipielago de San Andres,Archipielago de San Andres_R_H,3447.2186583645303,hombre,rural
111,88,Archipielago de San Andres,Archipielago de San Andres_R_M,3771.37450284137,mujer,rural
112,91,Amazonas,Amazonas_U_H,8103.0751280567,hombre,urbano
113,91,Amazonas,Amazonas_U_M,5088.36687539022,mujer,urbano
114,91,Amazonas,Amazonas_R_H,8787.153969981651,hombre,rural
115,91,Amazonas,Amazonas_R_M,7890.603976335691,mujer,rural
116,94,Guainia,Guainia_R_H,6393.94390629768,hombre,rural
117,94,Guainia,Guainia_R_M,5570.0980115988095,mujer,rural
